Market,Regime,Trend,Model,Strategy Return (%),B&H Return (%),Max DD (%),Final $,Long (%),Short (%),Turnover,Tie Warning
Thai,,Uptrend,LSTM,-0.5,-0.5,0.0,9950.03,,,,
Thai,,Downtrend,LSTM,2.82,2.82,-18.67,10281.5,,,,
Thai,HMM,Overall,CNN,2.9,2.3,-19.08,10290.3,97.0,3.0,3.0,
Thai,,Uptrend,CNN,-0.5,-0.5,0.0,9950.03,,,,
Thai,,Downtrend,CNN,3.94,2.82,-18.67,10393.86,,,,
Thai,HMM,Overall,MLP,-8.99,2.3,-19.34,9101.41,87.0,13.0,17.0,
Thai,,Uptrend,MLP,-0.5,-0.5,0.0,9950.03,,,,
Thai,,Downtrend,MLP,-5.46,2.82,-18.61,9454.31,,,,
Thai,HMM,Overall,Transformer,16.85,2.3,-15.19,11684.61,78.8,21.2,6.0,
Thai,,Uptrend,Transformer,0.5,-0.5,0.0,10049.97,,,,
Thai,,Downtrend,Transformer,17.55,2.82,-14.82,11755.24,,,,
Thai,HMM,Overall,RandomForest,-4.09,2.3,-19.08,9591.1,91.3,8.7,9.0,
Thai,,Uptrend,RandomForest,-0.5,-0.5,0.0,9950.03,,,,
Thai,,Downtrend,RandomForest,-1.95,2.82,-18.67,9804.69,,,,
Thai,HMM,Overall,SVM,14.43,2.3,-17.76,11442.97,85.1,13.6,9.0,
Thai,,Uptrend,SVM,-0.5,-0.5,0.0,9950.03,,,,
Thai,,Downtrend,SVM,16.98,2.82,-17.35,11697.8,,,,
Thai,HMM,Overall,XGBoost,7.76,2.3,-15.7,10775.55,99.7,0.3,3.0,
Thai,,Uptrend,XGBoost,-0.5,-0.5,0.0,9950.03,,,,
Thai,,Downtrend,XGBoost,8.84,2.82,-15.7,10884.0,,,,
Gold,SMA200,Overall,LSTM,-9.05,-8.32,-17.34,9095.31,92.8,7.2,7.0,
Gold,,Uptrend,LSTM,-6.71,-7.17,-10.76,9329.37,,,,
Gold,,Downtrend,LSTM,-1.23,-1.23,-11.43,9876.8,,,,
Gold,SMA200,Overall,CNN,-5.48,-8.32,-13.7,9452.1,81.2,7.6,7.0,
Gold,,Uptrend,CNN,0.04,-7.17,-6.31,10004.04,,,,
Gold,,Downtrend,CNN,-4.28,-1.23,-11.43,9572.03,,,,
